"","stim","response","Emotion","correct","rt","FPNr","Reaktionstid","Korrekt"
"42","img/Rafd090_08_Caucasian_female_angry_frontal.jpg       ",7,"Förakt","False","6.494174003601074 ",1,6.49417400360107,0
"43","img/Rafd090_09_Caucasian_male_sad_frontal.jpg           ",6,"Sorg","True ","1.2828750610351562",1,1.28287506103516,1
"44","img/Rafd090_09_Caucasian_male_angry_frontal.jpg         ",6,"Förakt","False","1.3416709899902344",1,1.34167098999023,0
"45","img/Rafd090_10_Caucasian_male_fearful_frontal.jpg       ",6,"Rädsla","False","1.2135000228881836",1,1.21350002288818,0
"46","img/Rafd090_02_Caucasian_female_happy_frontal.jpg       ",5,"Ilska","False","4.0348899364471436",1,4.03488993644714,0
"47","img/Rafd090_10_Caucasian_male_surprised_frontal.jpg     ",4,"Förvåning","False","3.6044609546661377",1,3.60446095466614,0
"48","img/Rafd090_04_Caucasian_female_surprised_frontal.jpg   ",4,"Förvåning","False","1.1218528747558594",1,1.12185287475586,0
"49","img/Rafd090_07_Caucasian_male_fearful_frontal.jpg       ",4,"Rädsla","True ","1.2912559509277344",1,1.29125595092773,1
"50","img/Rafd090_04_Caucasian_female_contemptuous_frontal.jpg",6,"Avsky","False","5.741603136062622 ",1,5.74160313606262,0
"51","img/Rafd090_04_Caucasian_female_angry_frontal.jpg       ",7,"Förakt","False","4.292606830596924 ",1,4.29260683059692,0
"52","img/Rafd090_07_Caucasian_male_sad_frontal.jpg           ",7,"Sorg","False","0.4348490238189697",1,0.43484902381897,0
"53","img/Rafd090_10_Caucasian_male_sad_frontal.jpg           ",6,"Sorg","True ","0.6745378971099854",1,0.674537897109985,1
"54","img/Rafd090_12_Caucasian_female_sad_frontal.jpg         ",6,"Sorg","True ","1.4483120441436768",1,1.44831204414368,1
"55","img/Rafd090_05_Caucasian_male_sad_frontal.jpg           ",7,"Sorg","False","0.948552131652832 ",1,0.948552131652832,0
"56","img/Rafd090_14_Caucasian_female_disgusted_frontal.jpg   ",5,"Glädje","True ","2.463594913482666 ",1,2.46359491348267,1
"57","img/Rafd090_02_Caucasian_female_sad_frontal.jpg         ",2,"Sorg","False","1.7664339542388916",1,1.76643395423889,0
"58","img/Rafd090_05_Caucasian_male_disgusted_frontal.jpg     ",7,"Glädje","False","2.540497064590454 ",1,2.54049706459045,0
"59","img/Rafd090_14_Caucasian_female_surprised_frontal.jpg   ",7,"Förvåning","True ","1.127681016921997 ",1,1.127681016922,1
"60","img/Rafd090_12_Caucasian_female_disgusted_frontal.jpg   ",5,"Glädje","True ","2.8172919750213623",1,2.81729197502136,1
"61","img/Rafd090_12_Caucasian_female_contemptuous_frontal.jpg",3,"Avsky","True ","12.353119850158691",1,12.3531198501587,1
