"","test_round","subj","stim","response","emotion","correct","rt"
"64",1,145,"img/Rafd090_03_Caucasian_male_surprised_frontal.jpg",7,7,1,1.221225977
"65",1,145,"img/Rafd090_02_Caucasian_female_angry_frontal.jpg",2,1,0,1.814368963
"66",1,145,"img/Rafd090_05_Caucasian_male_sad_frontal.jpg",6,6,1,2.915308952
"67",1,145,"img/Rafd090_05_Caucasian_male_happy_frontal.jpg",5,5,1,2.086580992
"68",1,145,"img/Rafd090_10_Caucasian_male_disgusted_frontal.jpg",3,3,1,1.147909164
"69",1,145,"img/Rafd090_03_Caucasian_male_disgusted_frontal.jpg",1,3,0,1.651571035
"70",1,145,"img/Rafd090_02_Caucasian_female_sad_frontal.jpg",3,6,0,1.910259008
"71",1,206,"img\Rafd090_12_Caucasian_female_happy_frontal.jpg",5,5,1,2.068349725
"72",1,206,"img\Rafd090_09_Caucasian_male_surprised_frontal.jpg",7,7,1,5.614084131
"73",1,206,"img\Rafd090_02_Caucasian_female_happy_frontal.jpg",5,5,1,1.835268199
"74",1,206,"img\Rafd090_09_Caucasian_male_disgusted_frontal.jpg",2,3,0,4.039631304
"75",1,206,"img\Rafd090_14_Caucasian_female_fearful_frontal.jpg",7,4,0,2.116122636
"76",1,206,"img\Rafd090_07_Caucasian_male_disgusted_frontal.jpg",3,3,1,1.629229793
"77",1,206,"img\Rafd090_03_Caucasian_male_happy_frontal.jpg",5,5,1,1.192487367
"78",1,206,"img\Rafd090_03_Caucasian_male_sad_frontal.jpg",6,6,1,3.830272085
"79",1,206,"img\Rafd090_02_Caucasian_female_angry_frontal.jpg",2,1,0,3.147346406
"80",1,206,"img\Rafd090_04_Caucasian_female_surprised_frontal.jpg",7,7,1,1.338542312
"81",1,206,"img\Rafd090_07_Caucasian_male_surprised_frontal.jpg",7,7,1,2.522316501
"82",1,206,"img\Rafd090_04_Caucasian_female_happy_frontal.jpg",5,5,1,1.130804092
"83",1,206,"img\Rafd090_08_Caucasian_female_disgusted_frontal.jpg",3,3,1,2.282689852
"84",1,206,"img\Rafd090_10_Caucasian_male_surprised_frontal.jpg",7,7,1,1.077902259
"85",1,206,"img\Rafd090_10_Caucasian_male_disgusted_frontal.jpg",3,3,1,4.167709114
"86",1,206,"img\Rafd090_03_Caucasian_male_angry_frontal.jpg",1,1,1,5.65474035
"87",1,206,"img\Rafd090_07_Caucasian_male_fearful_frontal.jpg",4,4,1,4.618486954
"88",1,206,"img\Rafd090_08_Caucasian_female_happy_frontal.jpg",5,5,1,1.591592156
"89",1,206,"img\Rafd090_09_Caucasian_male_angry_frontal.jpg",2,1,0,2.246074028
"90",1,206,"img\Rafd090_04_Caucasian_female_angry_frontal.jpg",2,1,0,4.649213006
"91",1,206,"img\Rafd090_09_Caucasian_male_contemptuous_frontal.jpg",5,2,0,0.93246698
"92",1,206,"img\Rafd090_12_Caucasian_female_angry_frontal.jpg",3,1,0,2.748944132
"93",1,206,"img\Rafd090_12_Caucasian_female_sad_frontal.jpg",6,6,1,2.204002538
"94",1,206,"img\Rafd090_04_Caucasian_female_disgusted_frontal.jpg",2,3,0,3.105249782
"95",1,206,"img\Rafd090_10_Caucasian_male_fearful_frontal.jpg",7,4,0,1.106962009
"96",1,206,"img\Rafd090_02_Caucasian_female_sad_frontal.jpg",1,6,0,6.844104564
"97",1,206,"img\Rafd090_14_Caucasian_female_disgusted_frontal.jpg",2,3,0,3.103929463
"98",1,206,"img\Rafd090_14_Caucasian_female_happy_frontal.jpg",5,5,1,0.673760087
"99",1,206,"img\Rafd090_03_Caucasian_male_surprised_frontal.jpg",7,7,1,0.915433464
"100",1,206,"img\Rafd090_05_Caucasian_male_contemptuous_frontal.jpg",5,2,0,0.924120576
"101",1,206,"img\Rafd090_08_Caucasian_female_angry_frontal.jpg",1,1,1,7.229251514
"102",1,206,"img\Rafd090_05_Caucasian_male_disgusted_frontal.jpg",2,3,0,4.640798025
"103",1,206,"img\Rafd090_07_Caucasian_male_angry_frontal.jpg",1,1,1,0.487255582
"104",1,206,"img\Rafd090_07_Caucasian_male_sad_frontal.jpg",6,6,1,2.487905036
"105",1,206,"img\Rafd090_12_Caucasian_female_contemptuous_frontal.jpg",5,2,0,0.793684188
"106",1,206,"img\Rafd090_10_Caucasian_male_contemptuous_frontal.jpg",5,2,0,0.520220126
"107",1,206,"img\Rafd090_14_Caucasian_female_contemptuous_frontal.jpg",5,2,0,0.465427025
"108",1,206,"img\Rafd090_14_Caucasian_female_angry_frontal.jpg",1,1,1,1.154034266
"109",1,206,"img\Rafd090_07_Caucasian_male_happy_frontal.jpg",5,5,1,1.210409889
"110",1,206,"img\Rafd090_08_Caucasian_female_surprised_frontal.jpg",7,7,1,1.191651423
"111",1,206,"img\Rafd090_05_Caucasian_male_sad_frontal.jpg",7,6,0,8.094008605
"112",1,206,"img\Rafd090_02_Caucasian_female_fearful_frontal.jpg",4,4,1,1.84856169
"113",1,206,"img\Rafd090_03_Caucasian_male_disgusted_frontal.jpg",2,3,0,1.315611264
"114",1,206,"img\Rafd090_12_Caucasian_female_fearful_frontal.jpg",4,4,1,1.476064672
"115",1,206,"img\Rafd090_04_Caucasian_female_contemptuous_frontal.jpg",5,2,0,0.775320112
"116",1,206,"img\Rafd090_05_Caucasian_male_surprised_frontal.jpg",7,7,1,0.663163709
"117",1,206,"img\Rafd090_03_Caucasian_male_contemptuous_frontal.jpg",5,2,0,1.394381428
"118",1,206,"img\Rafd090_04_Caucasian_female_sad_frontal.jpg",6,6,1,0.896980021
"119",1,206,"img\Rafd090_08_Caucasian_female_sad_frontal.jpg",2,6,0,4.778689951
"120",1,206,"img\Rafd090_09_Caucasian_male_sad_frontal.jpg",5,6,0,2.513679037
"121",1,206,"img\Rafd090_10_Caucasian_male_sad_frontal.jpg",6,6,1,1.082946779
"122",1,206,"img\Rafd090_07_Caucasian_male_contemptuous_frontal.jpg",5,2,0,0.436888266
"123",1,206,"img\Rafd090_02_Caucasian_female_contemptuous_frontal.jpg",5,2,0,0.466063136
"124",1,206,"img\Rafd090_10_Caucasian_male_happy_frontal.jpg",5,5,1,0.450473748
"125",1,206,"img\Rafd090_05_Caucasian_male_angry_frontal.jpg",1,1,1,1.527032726
"126",1,206,"img\Rafd090_02_Caucasian_female_disgusted_frontal.jpg",3,3,1,2.352215297
"127",1,206,"img\Rafd090_04_Caucasian_female_fearful_frontal.jpg",4,4,1,1.336048133
"128",1,206,"img\Rafd090_09_Caucasian_male_fearful_frontal.jpg",7,4,0,1.160578768
"129",1,206,"img\Rafd090_05_Caucasian_male_fearful_frontal.jpg",7,4,0,3.92906549
"130",1,206,"img\Rafd090_14_Caucasian_female_surprised_frontal.jpg",7,7,1,1.618856209
"131",1,206,"img\Rafd090_12_Caucasian_female_surprised_frontal.jpg",7,7,1,0.104061029
"132",1,206,"img\Rafd090_14_Caucasian_female_sad_frontal.jpg",6,6,1,0.625912393
"133",1,206,"img\Rafd090_08_Caucasian_female_contemptuous_frontal.jpg",5,2,0,0.607245466
"134",1,206,"img\Rafd090_03_Caucasian_male_fearful_frontal.jpg",4,4,1,1.420983925
"135",1,206,"img\Rafd090_05_Caucasian_male_happy_frontal.jpg",5,5,1,0.770172572
"136",1,206,"img\Rafd090_12_Caucasian_female_disgusted_frontal.jpg",2,3,0,2.345329157
"137",1,206,"img\Rafd090_10_Caucasian_male_angry_frontal.jpg",1,1,1,1.249830189
"138",1,206,"img\Rafd090_02_Caucasian_female_surprised_frontal.jpg",7,7,1,0.837710867
"139",1,206,"img\Rafd090_09_Caucasian_male_happy_frontal.jpg",5,5,1,0.898218732
"140",1,206,"img\Rafd090_08_Caucasian_female_fearful_frontal.jpg",7,4,0,1.660067862
"141",1,227,"img\Rafd090_07_Caucasian_male_sad_frontal.jpg",5,6,0,4.158646793
"142",1,227,"img\Rafd090_07_Caucasian_male_disgusted_frontal.jpg",3,3,1,5.093593844
"143",1,227,"img\Rafd090_08_Caucasian_female_sad_frontal.jpg",2,6,0,3.360055592
"144",1,227,"img\Rafd090_09_Caucasian_male_contemptuous_frontal.jpg",7,2,0,8.392378048
"145",1,227,"img\Rafd090_14_Caucasian_female_happy_frontal.jpg",5,5,1,1.583007214
"146",1,227,"img\Rafd090_04_Caucasian_female_fearful_frontal.jpg",4,4,1,7.037369087
"147",1,227,"img\Rafd090_02_Caucasian_female_happy_frontal.jpg",5,5,1,1.857837917
"148",1,227,"img\Rafd090_10_Caucasian_male_angry_frontal.jpg",3,1,0,3.029547181
"149",1,227,"img\Rafd090_02_Caucasian_female_sad_frontal.jpg",2,6,0,1.850055729
"150",1,227,"img\Rafd090_05_Caucasian_male_sad_frontal.jpg",6,6,1,6.477887477
"151",1,227,"img\Rafd090_02_Caucasian_female_contemptuous_frontal.jpg",4,2,0,8.144757697
"152",1,227,"img\Rafd090_05_Caucasian_male_fearful_frontal.jpg",7,4,0,1.106067686
"153",1,227,"img\Rafd090_07_Caucasian_male_surprised_frontal.jpg",7,7,1,0.883821054
"154",1,227,"img\Rafd090_09_Caucasian_male_angry_frontal.jpg",3,1,0,5.902876865
"155",1,227,"img\Rafd090_03_Caucasian_male_contemptuous_frontal.jpg",7,2,0,5.624604064
"156",1,227,"img\Rafd090_03_Caucasian_male_happy_frontal.jpg",5,5,1,1.68577771
"157",1,227,"img\Rafd090_10_Caucasian_male_sad_frontal.jpg",4,6,0,2.712264455
"158",1,227,"img\Rafd090_10_Caucasian_male_fearful_frontal.jpg",4,4,1,5.193994
"159",1,227,"img\Rafd090_07_Caucasian_male_fearful_frontal.jpg",4,4,1,1.656636084
"160",1,227,"img\Rafd090_04_Caucasian_female_disgusted_frontal.jpg",3,3,1,2.508329548
"161",1,227,"img\Rafd090_14_Caucasian_female_fearful_frontal.jpg",4,4,1,1.422185256
"162",1,227,"img\Rafd090_12_Caucasian_female_happy_frontal.jpg",5,5,1,1.40270279
"163",1,227,"img\Rafd090_09_Caucasian_male_happy_frontal.jpg",5,5,1,1.777217489
"164",1,227,"img\Rafd090_02_Caucasian_female_surprised_frontal.jpg",7,7,1,1.20052415
"165",1,227,"img\Rafd090_14_Caucasian_female_surprised_frontal.jpg",7,7,1,1.238930551
"166",1,227,"img\Rafd090_08_Caucasian_female_surprised_frontal.jpg",7,7,1,0.883458941
"167",1,227,"img\Rafd090_14_Caucasian_female_contemptuous_frontal.jpg",6,2,0,4.23791868
"168",1,227,"img\Rafd090_10_Caucasian_male_happy_frontal.jpg",5,5,1,1.323212455
"169",1,227,"img\Rafd090_02_Caucasian_female_fearful_frontal.jpg",2,4,0,4.372188421
"170",1,227,"img\Rafd090_05_Caucasian_male_angry_frontal.jpg",1,1,1,0.971379979
"171",1,227,"img\Rafd090_07_Caucasian_male_contemptuous_frontal.jpg",3,2,0,9.202361404
"172",1,227,"img\Rafd090_12_Caucasian_female_angry_frontal.jpg",1,1,1,2.07231136
"173",1,227,"img\Rafd090_12_Caucasian_female_contemptuous_frontal.jpg",3,2,0,6.035242328
"174",1,227,"img\Rafd090_02_Caucasian_female_angry_frontal.jpg",1,1,1,0.751894659
"175",1,227,"img\Rafd090_04_Caucasian_female_contemptuous_frontal.jpg",2,2,1,6.439489454
"176",1,227,"img\Rafd090_12_Caucasian_female_surprised_frontal.jpg",7,7,1,1.283999908
"177",1,227,"img\Rafd090_09_Caucasian_male_fearful_frontal.jpg",7,4,0,1.054533031
"178",1,227,"img\Rafd090_04_Caucasian_female_surprised_frontal.jpg",7,7,1,0.666541618
"179",1,227,"img\Rafd090_03_Caucasian_male_angry_frontal.jpg",2,1,0,6.973560419
"180",1,227,"img\Rafd090_08_Caucasian_female_fearful_frontal.jpg",7,4,0,1.483941325
"181",1,227,"img\Rafd090_03_Caucasian_male_surprised_frontal.jpg",7,7,1,0.470489434
"182",1,227,"img\Rafd090_08_Caucasian_female_contemptuous_frontal.jpg",2,2,1,2.057661421
"183",1,227,"img\Rafd090_14_Caucasian_female_disgusted_frontal.jpg",3,3,1,2.653486284
"184",1,227,"img\Rafd090_09_Caucasian_male_disgusted_frontal.jpg",3,3,1,2.057321339
"185",1,227,"img\Rafd090_05_Caucasian_male_surprised_frontal.jpg",7,7,1,1.253144836
"186",1,227,"img\Rafd090_14_Caucasian_female_angry_frontal.jpg",1,1,1,0.705040177
"187",1,227,"img\Rafd090_07_Caucasian_male_happy_frontal.jpg",5,5,1,1.795552486
"188",1,227,"img\Rafd090_12_Caucasian_female_disgusted_frontal.jpg",2,3,0,1.530067855
"189",1,227,"img\Rafd090_04_Caucasian_female_sad_frontal.jpg",6,6,1,1.50672005
"190",1,227,"img\Rafd090_10_Caucasian_male_disgusted_frontal.jpg",3,3,1,2.107089487
"191",1,227,"img\Rafd090_09_Caucasian_male_sad_frontal.jpg",6,6,1,1.108942566
"192",1,227,"img\Rafd090_10_Caucasian_male_surprised_frontal.jpg",7,7,1,0.974817733
"193",1,227,"img\Rafd090_03_Caucasian_male_fearful_frontal.jpg",7,4,0,6.46986357
"194",1,227,"img\Rafd090_03_Caucasian_male_disgusted_frontal.jpg",3,3,1,2.361006335
"195",1,227,"img\Rafd090_02_Caucasian_female_disgusted_frontal.jpg",3,3,1,1.657518562
"196",1,227,"img\Rafd090_08_Caucasian_female_angry_frontal.jpg",1,1,1,1.349371529
"197",1,227,"img\Rafd090_08_Caucasian_female_disgusted_frontal.jpg",3,3,1,2.605192656
"198",1,227,"img\Rafd090_14_Caucasian_female_sad_frontal.jpg",7,6,0,6.258907627
"199",1,227,"img\Rafd090_12_Caucasian_female_sad_frontal.jpg",6,6,1,1.926752792
"200",1,227,"img\Rafd090_07_Caucasian_male_angry_frontal.jpg",1,1,1,1.696039152
"201",1,227,"img\Rafd090_08_Caucasian_female_happy_frontal.jpg",5,5,1,1.561896012
"202",1,227,"img\Rafd090_05_Caucasian_male_happy_frontal.jpg",5,5,1,0.913641915
"203",1,227,"img\Rafd090_09_Caucasian_male_surprised_frontal.jpg",7,7,1,0.818976313
"204",1,227,"img\Rafd090_04_Caucasian_female_happy_frontal.jpg",5,5,1,0.696044427
"205",1,227,"img\Rafd090_10_Caucasian_male_contemptuous_frontal.jpg",6,2,0,3.865801317
"206",1,227,"img\Rafd090_04_Caucasian_female_angry_frontal.jpg",3,1,0,3.98895072
"207",1,227,"img\Rafd090_12_Caucasian_female_fearful_frontal.jpg",1,4,0,1.586792497
"208",1,227,"img\Rafd090_03_Caucasian_male_sad_frontal.jpg",6,6,1,1.745426878
"209",1,227,"img\Rafd090_05_Caucasian_male_disgusted_frontal.jpg",2,3,0,2.801116998
"210",1,227,"img\Rafd090_05_Caucasian_male_contemptuous_frontal.jpg",6,2,0,3.12691669
"211",1,243,"img/Rafd090_14_Caucasian_female_sad_frontal.jpg",3,6,0,18.21556616
"212",1,243,"img/Rafd090_12_Caucasian_female_happy_frontal.jpg",5,5,1,3.445576191
"213",1,243,"img/Rafd090_05_Caucasian_male_fearful_frontal.jpg",7,4,0,4.835946083
"214",1,243,"img/Rafd090_07_Caucasian_male_disgusted_frontal.jpg",3,3,1,4.331818104
"215",1,243,"img/Rafd090_07_Caucasian_male_angry_frontal.jpg",2,1,0,6.319303989
"216",1,243,"img/Rafd090_03_Caucasian_male_contemptuous_frontal.jpg",3,2,0,24.518152
"217",1,243,"img/Rafd090_12_Caucasian_female_contemptuous_frontal.jpg",2,2,1,5.692263842
"218",1,243,"img/Rafd090_09_Caucasian_male_disgusted_frontal.jpg",1,3,0,3.246690989
"219",1,243,"img/Rafd090_03_Caucasian_male_disgusted_frontal.jpg",1,3,0,2.980561972
"220",1,243,"img/Rafd090_04_Caucasian_female_contemptuous_frontal.jpg",2,2,1,6.663113117
"221",1,243,"img/Rafd090_02_Caucasian_female_fearful_frontal.jpg",4,4,1,4.695065022
"222",1,243,"img/Rafd090_02_Caucasian_female_contemptuous_frontal.jpg",2,2,1,7.898784161
"223",1,243,"img/Rafd090_14_Caucasian_female_fearful_frontal.jpg",4,4,1,20.67348385
"224",1,243,"img/Rafd090_09_Caucasian_male_sad_frontal.jpg",6,6,1,2.205291033
"225",1,243,"img/Rafd090_10_Caucasian_male_surprised_frontal.jpg",7,7,1,2.06236887
"226",1,243,"img/Rafd090_07_Caucasian_male_sad_frontal.jpg",6,6,1,3.602401018
"227",1,243,"img/Rafd090_14_Caucasian_female_happy_frontal.jpg",5,5,1,2.303646088
"228",1,243,"img/Rafd090_10_Caucasian_male_disgusted_frontal.jpg",3,3,1,3.764407873
"229",1,243,"img/Rafd090_10_Caucasian_male_angry_frontal.jpg",1,1,1,5.702672005
"230",1,243,"img/Rafd090_08_Caucasian_female_surprised_frontal.jpg",7,7,1,1.799495935
"231",1,243,"img/Rafd090_04_Caucasian_female_angry_frontal.jpg",3,1,0,12.69468689
"232",1,243,"img/Rafd090_03_Caucasian_male_sad_frontal.jpg",6,6,1,1.891058207
"233",1,243,"img/Rafd090_04_Caucasian_female_surprised_frontal.jpg",7,7,1,1.683434963
"234",1,243,"img/Rafd090_08_Caucasian_female_happy_frontal.jpg",5,5,1,1.802291155
"235",1,243,"img/Rafd090_08_Caucasian_female_disgusted_frontal.jpg",3,3,1,2.785530806
"236",1,243,"img/Rafd090_03_Caucasian_male_angry_frontal.jpg",6,1,0,17.24444795
"237",1,243,"img/Rafd090_12_Caucasian_female_fearful_frontal.jpg",4,4,1,2.173245907
"238",1,243,"img/Rafd090_08_Caucasian_female_sad_frontal.jpg",6,6,1,4.228208065
"239",1,243,"img/Rafd090_08_Caucasian_female_contemptuous_frontal.jpg",2,2,1,2.173476934
"240",1,243,"img/Rafd090_14_Caucasian_female_surprised_frontal.jpg",7,7,1,1.532533884
"241",1,243,"img/Rafd090_02_Caucasian_female_happy_frontal.jpg",5,5,1,2.311615944
"242",1,243,"img/Rafd090_05_Caucasian_male_sad_frontal.jpg",6,6,1,9.289896965
"243",1,243,"img/Rafd090_05_Caucasian_male_happy_frontal.jpg",5,5,1,1.626422882
"244",1,243,"img/Rafd090_02_Caucasian_female_surprised_frontal.jpg",7,7,1,1.738296986
"245",1,243,"img/Rafd090_08_Caucasian_female_fearful_frontal.jpg",1,4,0,1.645162106
"246",1,243,"img/Rafd090_02_Caucasian_female_disgusted_frontal.jpg",2,3,0,16.77721906
"247",1,243,"img/Rafd090_05_Caucasian_male_angry_frontal.jpg",1,1,1,2.08265996
"248",1,243,"img/Rafd090_09_Caucasian_male_surprised_frontal.jpg",7,7,1,1.329599857
"249",1,243,"img/Rafd090_04_Caucasian_female_happy_frontal.jpg",5,5,1,2.033933163
"250",1,243,"img/Rafd090_09_Caucasian_male_angry_frontal.jpg",1,1,1,1.303946018
"251",1,243,"img/Rafd090_03_Caucasian_male_surprised_frontal.jpg",7,7,1,1.238397121
"252",1,243,"img/Rafd090_14_Caucasian_female_disgusted_frontal.jpg",1,3,0,8.725378037
"253",1,243,"img/Rafd090_05_Caucasian_male_surprised_frontal.jpg",7,7,1,1.82947588
"254",1,243,"img/Rafd090_12_Caucasian_female_sad_frontal.jpg",6,6,1,2.418553114
