KÖN,ålder,Fraga1,Fraga2,fraga3,fraga4,fraga5,fraga6,Fraga7,Fraga8,Fraga9,Fraga10,Fraga11,Fraga12,Fraga13,Fraga14,Fraga15,Fraga16,Fraga17,Fraga18,Fraga19,Fraga20,Fraga21,Fraga22,Fraga23,Fraga24,Fraga25,Fraga26,Fraga27,VAR00004,ILSKA,FÖRAKT,AVSKY,RÄDSLA,GLÄDJE,SORG,FÖRVÅNING,Totalmicroemotion,IdentificationSelf,UnderstandingSelf,ExpressionSelf,RegulationSelf,UseSelf,IdentificationOthers,UnderstandingOthers,ExpressionOthers,RegulationOthers,UseOthers,TotalTraitEmotion
0,22,5,6,4,6,6,5,4,5,4,4,4,5,5,4,5,5,4,6,3,4,4,3,4,4,5,5,4, ,100,90,40,50,100,80,100,80,5.5,5,5.5,4.5,4,4.5,4.5,5,5,3.5,4.7
0,25,5,3,3,4,5,5,4,4,5,2,7,6,4,5,4,3,2,2,4,4,5,2,6,3,6,4,6, ,100,60,100,80,90,20,100,78.5714285714286,4,3.5,5,4,3.5,6.5,4.5,3.5,2,4,4.05
0,24,5,5,5,4,3,6,4,4,6,4,7,6,4,7,6,2,5,1,5,5,6,6,5,5,6,7,7, ,100,10,70,60,90,40,100,67.1428571428571,5.5,4.5,4,4,5,6.5,5.5,4,3,5,4.7
0,25,5,4,6,5,7,6,2,5,4,4,7,7,6,6,6,6,5,7,5,2,5,5,5,4,6,7,5, ,100,100,100,50,70,80,100,85.7142857142857,5,5.5,6,3.5,4,7,6,6,6,3.5,5.25
0,26,6,6,6,6,5,6,7,5,5,6,7,7,6,6,7,6,6,2,4,3,6,6,6,6,6,6,6, ,100,90,60,40,90,70,100,78.5714285714286,6,6,5.5,6,5.5,7,6,6.5,4,3.5,5.6
0,23,7,5,4,5,6,6,4,5,4,5,5,5,6,6,5, ,5,5,2,6,5,5,4,6,6,3,5, ,90,90,90,60,80,80,80,81.4285714285714,5.5,4.5,6.5,4.5,4.5,5,6,5,5,4,5.05
0,22,7,7,6,6,6,6,4,4,5,4,6,6,6,6,6,7,4,6,4,2,7,5,5,6,7,7,7, ,100,60,70,10,70,60,90,65.7142857142857,6.5,6,6.5,4,4.5,6,6,6.5,5,3,5.4
0,46,6,6,6,6,6,6,4,5,5,5,3,6,5,5,6,6,6,6,4,2,6,5,3,5,7,6,5, ,100,80,100,40,80,60,100,80,6,6,6,4.5,5,4.5,5,6,6,3,5.2
0,35,6,6,6,4,5,6,2,3,4,4,5,7,6,5,5,4,4,3,4,5,6,7,6,6,6,7,6, ,100,90,90,60,90,40,100,81.4285714285714,6,5,5.5,2.5,4,6,5.5,4.5,3.5,4.5,4.7
0,50,5,5,4,3,5,6,3,6,5,6,5,5,5,5,5,3,4,5,2,5,5,5,5,5,5,4,5, ,100,40,10,60,70,60,70,58.5714285714286,5.5,3.5,5,4.5,5.5,5,5,4,4.5,3.5,4.6
0,22,6,6,5,6,2,5,3,3,5,4,6,7,6,6,6,5,6,2,5,3,6,6,6,6,7,6,7, ,100,80,50,60,80,70,100,77.1428571428571,5.5,5.5,4,3,4.5,6.5,6,5.5,4,4,4.85
0,20,5,4,5,4,2,4,5,6,4,4,6,7,7,4,7,6,6,4,4,2,6,5,5,6,6,6,5, ,100,90,100,90,100,90,100,95.7142857142857,4,4.5,3.5,5.5,4,6.5,5.5,6.5,5,3,4.8
0,32,6,5,3,4,6,3,3,3,6,5,7,7,2,3,6,1,5,4,5,6,7,7,5,6,7,5,6, ,100,60,70,100,70,60,90,78.5714285714286,4,3.5,6,3,5.5,7,2.5,3.5,4.5,5.5,4.5
0,37,4,6,6,6,5,6,3,3,6,5,5,5,5,4,5,6,4,6,5,2,5,5,4,4,6,6,5, ,100,80,100,40,80,60,100,80,6,6,4.5,3,5.5,5,4.5,5.5,5,3.5,4.85
0,25,5,6,7,6,4,6,5,6,3,7,6,7,7,7,6,4,6,5,5,2,7,7,6,6,6,7,7, ,100,90,90,60,90,40,100,81.4285714285714,6,6.5,4.5,5.5,5,6.5,7,5,5.5,3.5,5.5
0,22,6,7,6,6,7,6,3,2,6,7,5,6,6,6,6,3,6,6,6,2,5,4,5,5,5,5,4, ,100,40,10,60,70,60,70,58.5714285714286,6.5,6,6.5,2.5,6.5,5.5,6,4.5,6,4,5.4
1,42,4,5,6,5,6,5,4,6,5,4,5,6,6,4,5,4,5,6,4,3,5,5,5,6,7,6,4, ,100,80,50,60,80,70,100,77.1428571428571,5,5.5,5,5,4.5,5.5,5,4.5,5.5,3.5,4.9
0,24,7,7,6,6,6,6,2,4,4,5,6,6,5,6,7,6,6,5,4,4,6,4,4,4,6,7,5, ,100,90,100,90,100,90,100,95.7142857142857,6.5,6,6.5,3,4.5,6,5.5,6.5,5.5,4,5.4
0,19,4,4,6,3,4,3,4,6,3,5,5,6,5,4,5,6,4,5,3,2,5,5,5,5,6,6,5, ,90,70,50,100,60,60,70,71.4285714285714,3.5,4.5,4,5,4,5.5,4.5,5.5,4.5,2.5,4.35
0,19,5,5,6,5,6,4,5,6,2,5,5,6,6,4,5,6,5,4,4,4,5,4,4,5,5,5,5, ,70,20,50,60,30,80,100,58.5714285714286,4.5,5.5,5.5,5.5,3.5,5.5,5,5.5,4.5,4,4.9
0,52,5,6,5,5,6,5,5,6,6,6,5,6,6,6,5,6,6,7,4,3,6,6,6,4,7,5,6, ,100,40,30,30,100,30,90,60,5.5,5,5.5,5.5,6,5.5,6,5.5,6.5,3.5,5.45
