test_round,subj,stim,response,emotion,correct,rt
1,145,img/Rafd090_05_Caucasian_male_happy_frontal.jpg,5,5,1,2.086580991744995
1,145,img/Rafd090_10_Caucasian_male_disgusted_frontal.jpg,3,3,1,1.147909164428711
1,145,img/Rafd090_03_Caucasian_male_disgusted_frontal.jpg,1,3,0,1.6515710353851318
1,145,img/Rafd090_02_Caucasian_female_sad_frontal.jpg,3,6,0,1.9102590084075928
1,206,img\Rafd090_12_Caucasian_female_happy_frontal.jpg,5,5,1,2.0683497248429603
1,206,img\Rafd090_09_Caucasian_male_surprised_frontal.jpg,7,7,1,5.614084131187951
1,206,img\Rafd090_02_Caucasian_female_happy_frontal.jpg,5,5,1,1.8352681986095831
1,206,img\Rafd090_09_Caucasian_male_disgusted_frontal.jpg,2,3,0,4.039631303516728
1,206,img\Rafd090_14_Caucasian_female_fearful_frontal.jpg,7,4,0,2.116122636108514
1,206,img\Rafd090_07_Caucasian_male_disgusted_frontal.jpg,3,3,1,1.6292297929844608
1,206,img\Rafd090_03_Caucasian_male_happy_frontal.jpg,5,5,1,1.1924873669789804
1,206,img\Rafd090_03_Caucasian_male_sad_frontal.jpg,6,6,1,3.830272085096169
1,206,img\Rafd090_02_Caucasian_female_angry_frontal.jpg,2,1,0,3.147346406202246
1,206,img\Rafd090_04_Caucasian_female_surprised_frontal.jpg,7,7,1,1.338542311505421
1,206,img\Rafd090_07_Caucasian_male_surprised_frontal.jpg,7,7,1,2.5223165012000663
1,206,img\Rafd090_04_Caucasian_female_happy_frontal.jpg,5,5,1,1.130804091593859
1,206,img\Rafd090_08_Caucasian_female_disgusted_frontal.jpg,3,3,1,2.2826898521583416
1,206,img\Rafd090_10_Caucasian_male_surprised_frontal.jpg,7,7,1,1.077902259127086
1,206,img\Rafd090_10_Caucasian_male_disgusted_frontal.jpg,3,3,1,4.167709113927572
1,206,img\Rafd090_03_Caucasian_male_angry_frontal.jpg,1,1,1,5.654740350109705
1,206,img\Rafd090_07_Caucasian_male_fearful_frontal.jpg,4,4,1,4.618486954282275
1,206,img\Rafd090_08_Caucasian_female_happy_frontal.jpg,5,5,1,1.5915921562786934
1,206,img\Rafd090_09_Caucasian_male_angry_frontal.jpg,2,1,0,2.2460740278741014
1,206,img\Rafd090_04_Caucasian_female_angry_frontal.jpg,2,1,0,4.6492130058444445
1,206,img\Rafd090_09_Caucasian_male_contemptuous_frontal.jpg,5,2,0,0.9324669803783081
1,206,img\Rafd090_12_Caucasian_female_angry_frontal.jpg,3,1,0,2.748944132336078
1,206,img\Rafd090_12_Caucasian_female_sad_frontal.jpg,6,6,1,2.2040025382403883
1,206,img\Rafd090_04_Caucasian_female_disgusted_frontal.jpg,2,3,0,3.105249782403348
1,206,img\Rafd090_10_Caucasian_male_fearful_frontal.jpg,7,4,0,1.1069620086232135
1,206,img\Rafd090_02_Caucasian_female_sad_frontal.jpg,1,6,0,6.844104564333406
1,206,img\Rafd090_14_Caucasian_female_disgusted_frontal.jpg,2,3,0,3.103929462982137
1,206,img\Rafd090_14_Caucasian_female_happy_frontal.jpg,5,5,1,0.6737600866352977
